Product link,Product Category,Tags (seprated by comma)
https://www.amazon.in/dp/9389178118?ref_=ppx_hzod_title_dt_b_fed_asin_title_2_6,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, story-books, girls, boys"
https://www.amazon.in/dp/9365698030?ref_=ppx_hzod_title_dt_b_fed_asin_title_3_0,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, girls, boys"
https://www.amazon.in/Booktopus-Torch-Discovery-Book-Interactive/dp/9365697948/ref=pd_bxgy_thbs_d_sccl_1/520-0973998-4577526?pd_rd_w=PKTJc&content-id=amzn1.sym.e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_p=e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_r=SQ4TQXGH9PMCJWE095N7&pd_rd_wg=CRYoK&pd_rd_r=085ad554-fbb9-412a-aaeb-eddfc7a690bd&pd_rd_i=9365697948&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, girls, boys"
https://www.amazon.in/Little-Book-Planets-Illustrated-Preschoolers/dp/9815233394/ref=pd_bxgy_thbs_d_sccl_2/520-0973998-4577526?pd_rd_w=jH7Ht&content-id=amzn1.sym.e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_p=e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_r=BT70P68T3XZRJTX40B5N&pd_rd_wg=libbQ&pd_rd_r=334c8d1c-9266-4f55-8935-16adfae1f82f&pd_rd_i=9815233394&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, educational-books, girls, boys"
https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=pd_bxgy_d_sccl_2/520-0973998-4577526?pd_rd_w=5lfOz&content-id=amzn1.sym.e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_p=e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_r=RHC0ABHD3F92W1ZJFAP3&pd_rd_wg=t6dLR&pd_rd_r=0f308f04-7e9a-4a99-ae75-3487b7eea921&pd_rd_i=9390292964&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, indian-mythology, story-books, girls, boys"
https://www.amazon.in/Shlokas-Mantras-Kids-Illustrated-Tradition/dp/9354405169/ref=pd_bxgy_thbs_d_sccl_2/520-0973998-4577526?pd_rd_w=wjD2n&content-id=amzn1.sym.e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_p=e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_r=PJ5A7E7M5EF5T7BNF1JM&pd_rd_wg=CQ2Go&pd_rd_r=fa027575-6aaa-47d0-9dc9-a563ebada3a2&pd_rd_i=9354405169&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, indian-mythology, girls, boys"
https://www.amazon.in/When-Grow-Want-Barbara-Bengini/dp/9358569085/ref=srd_d_vsims_d_sccl_1_4/520-0973998-4577526?pd_rd_w=Qb1Pp&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=HYT223SQD80K58RB1V6R&pd_rd_wg=dgs5g&pd_rd_r=4a53dbb2-5e23-42eb-adfc-5324fba981c9&pd_rd_i=9358569085&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, positive-books, wellbeing-books, girls, boys"
https://www.amazon.in/dp/8129118920?ref_=ppx_hzod_title_dt_b_fed_asin_title_4_0,Books,"children-books, books, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, indian-mythology, story-books, girls, boys"
https://www.amazon.in/ItS-Time-Goodnight-Eulalia-Rosa/dp/9358565810/ref=pd_bxgy_thbs_d_sccl_1/520-0973998-4577526?pd_rd_w=FA6NB&content-id=amzn1.sym.e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_p=e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_r=QYA6Z4Q5J94GEVJXCMAV&pd_rd_wg=AP3K2&pd_rd_r=edb3c94f-c7d5-4849-aeb4-504569148867&pd_rd_i=9358565810&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, story-books, girls, boys"
https://www.amazon.in/Greatest-Short-Stories-Children-Various/dp/9354403697/ref=srd_d_vsims_d_sccl_1_2/520-0973998-4577526?pd_rd_w=PP2v8&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=1YQ1EFC5BPT164BPWRN2&pd_rd_wg=5khHL&pd_rd_r=929215a3-2d2b-4c6c-83cb-2750cf2ba4b3&pd_rd_i=9354403697&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, story-books, girls, boys"
