Product link,Product Category,Tags (seprated by comma)
https://hamleys.in/product/simba-masha-and-her-animal-friends-multicolour-3y-17032828,Toys and Games,"toys, 4-7-years, girls, pretend-and-play, dolls"
https://hamleys.in/product/barbie-diwali-anita-dongre-doll-6y-12440875,Dolls,"toys, dolls, barbie, 4-7-years, 8+-years, pretend-and-play, indian-doll, trending-now, trending-products"
https://hamleys.in/product/barbie-baby-doctor-playset-with-blonde-doll-infant-doll-stethoscope-thermometer-oscilloscope-chart-blanket-baby-bottle-kids-for-3y-multicolour-9495519,Dolls,"toys, dolls, barbie, 4-7-years, 8+-years, pretend-and-play, indian-doll, trending-now, trending-products"
https://hamleys.in/product/barbie-blonde-doll-with-pink-and-white-swimsuit-sun-hat-tote-bag-and-beach-themed-accessories-kids-for-3y-multicolour-9479932,Dolls,"toys, dolls, barbie, 4-7-years, 8+-years, pretend-and-play, indian-doll, trending-now, trending-products"
https://hamleys.in/product/barbie-doll-pet-playset-3y-multicolour-9779380,Dolls,"toys, dolls, barbie, 4-7-years, 8+-years, pretend-and-play, indian-doll, trending-now, trending-products"
https://hamleys.in/product/barbie-chelsea-doll-and-car-barbie-3y-multicolour-sgjyqzxw7c22,Dolls,"toys, dolls, barbie, 4-7-years, 8+-years, pretend-and-play, indian-doll, trending-now, trending-products"
https://hamleys.in/product/barbie-65th-anniversary-doll-girls-3y-multicolour-17032860,Dolls,"toys, dolls, barbie, 4-7-years, 8+-years, pretend-and-play, indian-doll, trending-now, trending-products"
https://hamleys.in/product/disney-princess-island-adventure-moana-doll-3y-multicolour-11553571,Dolls,"toys, dolls, barbie, 4-7-years, 8+-years, pretend-and-play, indian-doll, trending-now, trending-products, moana, disney-princess, trending-products"
https://hamleys.in/product/ne-hasbro-hungry-hippos-98936-bobknlgrae02,Toys and Games,"toys, 4-7-years, 8+-years, multiplayer, boys, girls, trending-now, trending-products, trending-now, hasbro"
https://hamleys.in/product/playshifu-zeezee-the-smart-storyteller-interactive-unicorn-plush-toy-3y-12639228,Toys and Games,"toys, 4-7-years, 8+-years, girls, trending-now, trending-products, trending-now, playshifu, interactive-toy, smart-toy, learning, music, unicorn"
https://hamleys.in/product/dragon-i-little-unicorn-touch-and-talk-electronic-dinosaur-toys-for-kids-2y-multicolour-v2q7bwqxvu,Toys and Games,"toys, 4-7-years, 8+-years, girls, trending-now, trending-products, trending-now, playshifu, interactive-toy, smart-toy, learning, music, unicorn"
https://hamleys.in/product/bloomingo-unicorn-universe-a-6-in-1-diy-art-craft-kit-ages-4-14543149,Toys and Games,"toys, 4-7-years, 8+-years, girls, trending-now, trending-products, trending-now, diy-toys, learning, unicorn"
https://hamleys.in/product/skillmatics-magical-scratch-unicorns-princesses-3y-multicolour-9959878,Stationary,"stationary, creative-kit, scratch-kit, unicorn, girls, 4-7-years, 8+-years, 1-3-years, diy-toys, imagination, skillmatics"
