Product link,Product Category,Tags (seprated by comma)
https://hellofriendbooks.com/product/hello-friend-books-jungle-animals-puzzle-book-board-book-with-jigsaw-puzzles-for-kids/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, interactive-books, creative-books, puzzle-books, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-my-shaped-story-book-ugly-ducking-shaped-story-board-book-for-kids/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, interactive-books, creative-books, puzzle-books, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-my-shaped-story-book-snow-white-and-the-seven-drawfs-shaped-story-board-book-for-kids/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, interactive-books, creative-books, hard-cut, story-books, girls"
https://hellofriendbooks.com/product/hello-friend-books-nursery-rhymes-sound-book-sing-along-read-and-play-with-keyboard-sound-book-sky-blue/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, interactive-books, creative-books, hard-cut, story-books, music-books, audio-books, sound-books, girls, boys, rhymes"
https://hellofriendbooks.com/product/hello-friend-books-kids-fun-reusable-wipe-and-clean-book-embark-on-an-exciting-journey-exploring-first-words-and-enhance-early-learning-skills-through-playful-interaction/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, write-and-wipe-books, learning-books, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-kids-fun-reusable-wipe-and-clean-book-embark-on-an-exciting-journey-exploring-capital-letters-alphabet-and-enhance-early-learning-skills-through-playful-interaction/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, write-and-wipe-books, learning-books, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-puffy-stickers-activity-book-farm-amazing-actvity-book-with-colourful-puffy-stickers-for-kids-to-enjoy/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, sticker-books, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-colour-in-fun-water-colouring-pad-exciting-water-colouring-with-colouring-book-water-colours-and-paint-brush-pink/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, book-with-colours, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-colour-in-fun-water-colouring-pad-exciting-water-colouring-with-colouring-book-water-colours-and-paint-brush-blue/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, book-with-colours, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-colour-in-fun-water-colouring-pad-exciting-water-colouring-with-colouring-book-water-colours-and-paint-brush-green/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, book-with-colours, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-colouring-with-crayons-supergirl-colouring-book-with-12-attractive-crayon-colours/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, book-with-colours, crayons, girls"
https://hellofriendbooks.com/product/hello-friend-books-colouring-with-crayons-superhero-colouring-book-with-12-attractive-crayon-colours/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, book-with-colours, crayons, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-colour-in-fun-water-colouring-pad-exciting-water-colouring-with-colouring-book-water-colours-and-paint-brush-purple/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, book-with-colours, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-my-suitcase-activity-bag-dinosaurs-complete-activity-case-with-colouring-books-activity-book-and-sticker-book-great-for-gifts-and-travel/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, book-with-colours, sticker-book, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-travel-art-kit-animals-art-kit-with-2-colouring-pads-and-12-colour-pencils-for-kids-on-the-go/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, book-with-colours, sticker-book, travel-size, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-glitter-colouring-pet-animals-easy-colouring-with-thick-glitter-lines-and-colour-guide-tear-and-frame-your-art-work/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, colouring-book, girls, boys"
https://hellofriendbooks.com/product/hello-friend-books-unicorn-anti-stress-colouring-pack-art-kit-with-neon-pens-glitter-tubes-and-colouring-sheets-to-relax-the-mind/,Books,"children-books, books, 1-3-years, 4-7-years, girls, stories, interactive-books, creative-books, activity-books, coloring-book, book-with-colours"
https://hellofriendbooks.com/product/hello-friend-books-travel-art-kit-princess-art-kit-with-2-colouring-pads-and-12-colour-pencils-for-kids-on-the-go/,Books,"children-books, books, 1-3-years, 4-7-years, girls, stories, interactive-books, creative-books, activity-books, coloring-book, book-with-colours, travel-size"
https://hellofriendbooks.com/product/hello-friend-books-fashion-forever-art-kit-colour-your-own-fashion-figures-dresses-hairstyles-and-more-colouring-art-kit-with-30-coloured-pencils-and-creative-artwork/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, stories, interactive-books, creative-books, activity-books, coloring-book, book-with-colours, fashion-art-kit, girls"
https://hellofriendbooks.com/product/hello-friend-books-creative-art-colouring-kit-barnyard-friends-art-kit-with-8-colour-pencils-eraser-and-colouring-book/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, coloring-book, book-with-colours, travel-size, girls"
https://hellofriendbooks.com/product/hello-friend-books-my-first-guitar-sound-book-for-kids-a-board-book-with-5-spreads-and-7-animals-sounds-4-years/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, interactive-books, creative-books, hard-cut, story-books, music-books, audio-books, sound-books, guitar"
https://hellofriendbooks.com/product/hello-friend-books-mobile-sound-book-in-the-farm-sound-board-book-with-mobile-sound-gadget-with-12-different-animal-sounds/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, interactive-books, creative-books, hard-cut, story-books, music-books, audio-books, sound-books, book-with-phone"
https://hellofriendbooks.com/product/hello-friend-books-write-and-wipe-sound-book-my-noisy-numbers-sound-book-with-30-musical-clicks-and-wipe-and-clean-pen/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, interactive-books, creative-books, hard-cut, story-books, music-books, audio-books, sound-books"
https://hellofriendbooks.com/product/hello-friend-books-colouring-and-sticker-travel-art-kit-princess-beautiful-colouring-kit-with-colouring-pad-sticker-sheets-and-colour-pencils/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, stories, interactive-books, creative-books, activity-books, coloring-book, book-with-colours, travel-size"
https://hellofriendbooks.com/product/hello-friend-books-101-moral-stories-illustrated-padded-book-with-a-collection-of-enchanting-short-tales-for-kids/,Books,"children-books, books, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, indian-mythology, story-books"
https://hellofriendbooks.com/product/hello-friend-books-my-first-wipe-and-clean-board-book-of-colours-shapes-includes-wipe-and-clean-pen-to-write-learn-clean-and-write-again/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, write-and-wipe-books, learning-books"
https://hellofriendbooks.com/product/hello-friend-books-3d-model-activity-set-enchancted-forest-create-your-own-fairy-forest-model-with-stickers-and-colouring-sheets/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, interactive-books, creative-books, puzzle-books, 3d-model-books, girls"
