Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
animals-tales-from-panchtantra-timeless-stories-for-children-from-ancient-india,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,"<ul>
<li>Gorgeous Illustrations</li>
<li>Stories have morals</li>
<li>Develops a reading habit in children</li>
<li>Builds vocabulary</li>
<li>Classic Stories for children</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, story-books, girls, boys",TRUE,,,,,deny,manual,199.00,349.00,TRUE,TRUE,https://m.media-amazon.com/images/I/71esglHnz-L._SL1200_.jpg,1,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,active
animals-tales-from-panchtantra-timeless-stories-for-children-from-ancient-india,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71AzJAErIQL._SL1200_.jpg,2,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,
animals-tales-from-panchtantra-timeless-stories-for-children-from-ancient-india,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71v8+PDM1FL._SL1200_.jpg,3,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,
animals-tales-from-panchtantra-timeless-stories-for-children-from-ancient-india,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61ab8Nokt9L._SL1200_.jpg,4,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,
animals-tales-from-panchtantra-timeless-stories-for-children-from-ancient-india,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61woi-FxBDL._SL1200_.jpg,5,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,
animals-tales-from-panchtantra-timeless-stories-for-children-from-ancient-india,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61VkiVib93L._SL1200_.jpg,6,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,
booktopus-torch-discovery-book-jungle-animals-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years,Booktopus Torch Discovery Book - Jungle Animals Hidden Picture Book with Torch - Learning Activity Books for Kids 4+ Years,"<p>The jungle can be a difficult space to spot all animals due to its foliage, but nothing can remain hidden for too long with the Torch series. Featuring an innovative design, this book is ideal for the young detectives at home, who enjoy a game of hide-and-seek alongside learning.</p>",,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, girls, boys",TRUE,,,,,deny,manual,271.00,399.00,TRUE,TRUE,https://m.media-amazon.com/images/I/81klFZ9NEYL._SL1500_.jpg,1,Booktopus Torch Discovery Book - Jungle Animals Hidden Picture Book with Torch - Learning Activity Books for Kids 4+ Years,active
booktopus-torch-discovery-book-jungle-animals-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71rxbBQMJnL._SL1500_.jpg,2,Booktopus Torch Discovery Book - Jungle Animals Hidden Picture Book with Torch - Learning Activity Books for Kids 4+ Years,
booktopus-torch-discovery-book-jungle-animals-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71PZ66oaPsL._SL1500_.jpg,3,Booktopus Torch Discovery Book - Jungle Animals Hidden Picture Book with Torch - Learning Activity Books for Kids 4+ Years,
booktopus-torch-discovery-book-super-space-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years-interactive-book,Booktopus Torch Discovery Book - Super Space Hidden Picture Book with Torch - Learning Activity Books for Kids 4+ Years - Interactive Book,"<p>An exciting discovery book with a special torch mechanism that transforms reading into an adventure. Hidden details come alive with the included torch, making learning magical.</p>
<p>This discovery book:</p>
<ul>
<li>Makes learning delightful through hidden picture revelation</li>
<li>Turns reading into an exciting adventure</li>
<li>Encourages exploration and discovery</li>
<li>Includes special torch with ribbon attachment</li>
<li>Perfect for gifting to curious young minds</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, girls, boys",TRUE,,,,,deny,manual,271.00,399.00,TRUE,TRUE,https://m.media-amazon.com/images/I/81Zy3A+8MqL._SL1500_.jpg,1,Booktopus Torch Discovery Book - Super Space Hidden Picture Book with Torch - Learning Activity Books for Kids 4+ Years - Interactive Book,active
booktopus-torch-discovery-book-super-space-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years-interactive-book,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71ef5QF4B6L._SL1500_.jpg,2,Booktopus Torch Discovery Book - Super Space Hidden Picture Book with Torch - Learning Activity Books for Kids 4+ Years - Interactive Book,
booktopus-torch-discovery-book-super-space-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years-interactive-book,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/7140ZElplDL._SL1500_.jpg,3,Booktopus Torch Discovery Book - Super Space Hidden Picture Book with Torch - Learning Activity Books for Kids 4+ Years - Interactive Book,
my-little-book-of-planets-rhyming-illustrated-solar-system-board-book-for-kids-fun-learning-about-planets-for-toddlers-preschoolers-ages-3-book-for-3-penguin-early-learning-series,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],"<p>Get ready for an out-of-this-world journeyExplore the uniqueness of each planet, from speedy Mercury to windy Neptune and all the planets in between.Each page is packed with short, engaging rhymes that make learning fun and memorable, transforming complex concepts into simple, enjoyable lessons.But it’s not just the rhymes that make this book stand out:</p>
<p>Whether used as a bedtime book or a classroom resource, this book is sure to inspire a lifelong love of science and exploration.</p>
<ul>
<li>Thevibrant, beautiful illustrationsbring the planets to life</li>
<li>Stunning designs capture theimagination</li>
<li>Itsparks curiosityencouraging young minds to explore further</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, educational-books, girls, boys",TRUE,,,,,deny,manual,192.00,350.00,TRUE,TRUE,https://m.media-amazon.com/images/I/71anctxl7EL._SL1500_.jpg,1,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],active
my-little-book-of-planets-rhyming-illustrated-solar-system-board-book-for-kids-fun-learning-about-planets-for-toddlers-preschoolers-ages-3-book-for-3-penguin-early-learning-series,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71n9uhpoJdL._SL1500_.jpg,2,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],
my-little-book-of-planets-rhyming-illustrated-solar-system-board-book-for-kids-fun-learning-about-planets-for-toddlers-preschoolers-ages-3-book-for-3-penguin-early-learning-series,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71nTiTwjVjL._SL1500_.jpg,3,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],
my-little-book-of-planets-rhyming-illustrated-solar-system-board-book-for-kids-fun-learning-about-planets-for-toddlers-preschoolers-ages-3-book-for-3-penguin-early-learning-series,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/6120QTIRewL._SL1500_.jpg,4,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],
my-little-book-of-planets-rhyming-illustrated-solar-system-board-book-for-kids-fun-learning-about-planets-for-toddlers-preschoolers-ages-3-book-for-3-penguin-early-learning-series,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71S-i9U-fYL._SL1500_.jpg,5,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],
my-little-book-of-planets-rhyming-illustrated-solar-system-board-book-for-kids-fun-learning-about-planets-for-toddlers-preschoolers-ages-3-book-for-3-penguin-early-learning-series,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71LeU9GLELL._SL1500_.jpg,6,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],
my-little-book-of-planets-rhyming-illustrated-solar-system-board-book-for-kids-fun-learning-about-planets-for-toddlers-preschoolers-ages-3-book-for-3-penguin-early-learning-series,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71-HhetDn3L._SL1058_.jpg,7,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],
my-little-book-of-planets-rhyming-illustrated-solar-system-board-book-for-kids-fun-learning-about-planets-for-toddlers-preschoolers-ages-3-book-for-3-penguin-early-learning-series,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/615qx80jxpL._SL1058_.jpg,8,My Little Book of Planets: Rhyming & Illustrated Solar System Board Book for Kids | Fun Learning About Planets for Toddlers & Preschoolers | Ages 3+ ... | Book for 3+ [Penguin Early Learning Series],
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",,,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, indian-mythology, story-books, girls, boys",TRUE,,,,,deny,manual,172.00,275.00,TRUE,TRUE,https://m.media-amazon.com/images/I/71xWWxjzF7L._SL1500_.jpg,1,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",active
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61AlbwQwKIL._SL1200_.jpg,2,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61gJEbSCjcL._SL1200_.jpg,3,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61gzl52c9uL._SL1200_.jpg,4,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/615pnAqZm5L._SL1200_.jpg,5,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61Kk0o1ap4L._SL1200_.jpg,6,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51+B5qiOLDL._SL1080_.jpg,7,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61rj6SAeQXL._SL1080_.jpg,8,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61Ni8gOHtbL._SL1080_.jpg,9,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
my-first-mythology-tale-illustrated-set-of-5-books-mahabharata-krishna-hanuman-ganesha-ramayana-story-book-for-kids,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61MvAnpggkL._SL1080_.jpg,10,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",
shlokas-and-mantras-for-kids-illustrated-padded-board-book-simple-sanskrit-shlokas-with-english-hindi-translations-first-spiritual-book-to-teach-indian-culture-values-devotional-practices-book-for-toddlers-preschoolers-early-readers-ages-26-years,"Shlokas and Mantras for Kids – Illustrated Padded Board Book: Simple Sanskrit Shlokas with English & Hindi Translations | First Spiritual Book to Teach Indian Culture, Values & Devotional Practices | Book for Toddlers, Preschoolers & Early Readers | Ages 2–6 Years","<ul>
<li>Shlokas and Mantras For Kids</li>
</ul>
<p>‘Shlokas and Mantras for Kids’ is a beautifully crafted board book designed to introduce children to shlokas and mantras from ancient Indian texts. This book offers a gentle and accessible way for the young readers to learn and appreciate the sacred verses and chants.</p>
<ul>
<li>Delightful Shlokas and Mantras for Children!</li>
<li>Includes a selection of simple, child-friendly shlokas and mantras</li>
<li>Instills knowledge of religious hymns</li>
<li>Encourages mindfulness and concentration</li>
<li>Promotes spiritual learning</li>
<li>Introduces important cultural and spiritual concepts</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, indian-mythology, girls, boys",TRUE,,,,,deny,manual,199.00,349.00,TRUE,TRUE,https://m.media-amazon.com/images/I/81r2q3SMrBL._SL1500_.jpg,1,"Shlokas and Mantras for Kids – Illustrated Padded Board Book: Simple Sanskrit Shlokas with English & Hindi Translations | First Spiritual Book to Teach Indian Culture, Values & Devotional Practices | Book for Toddlers, Preschoolers & Early Readers | Ages 2–6 Years",active
shlokas-and-mantras-for-kids-illustrated-padded-board-book-simple-sanskrit-shlokas-with-english-hindi-translations-first-spiritual-book-to-teach-indian-culture-values-devotional-practices-book-for-toddlers-preschoolers-early-readers-ages-26-years,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/81ViR-IV7dL._SL1500_.jpg,2,"Shlokas and Mantras for Kids – Illustrated Padded Board Book: Simple Sanskrit Shlokas with English & Hindi Translations | First Spiritual Book to Teach Indian Culture, Values & Devotional Practices | Book for Toddlers, Preschoolers & Early Readers | Ages 2–6 Years",
shlokas-and-mantras-for-kids-illustrated-padded-board-book-simple-sanskrit-shlokas-with-english-hindi-translations-first-spiritual-book-to-teach-indian-culture-values-devotional-practices-book-for-toddlers-preschoolers-early-readers-ages-26-years,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/714-kvSml7L._SL1500_.jpg,3,"Shlokas and Mantras for Kids – Illustrated Padded Board Book: Simple Sanskrit Shlokas with English & Hindi Translations | First Spiritual Book to Teach Indian Culture, Values & Devotional Practices | Book for Toddlers, Preschoolers & Early Readers | Ages 2–6 Years",
